timestamp,value
1325376600,11.3647
1325376900,13.1131
1325377200,10.9276
1325377500,11.8018
1325377800,11.8018
1325378100,12.2389
1325378400,11.8018
1325378700,11.8018
1325379000,12.2389
1325379300,11.8018
1325379600,12.2389
1325379900,10.9276
1325380200,12.2389
1325380500,11.3647
1325380800,11.3647
1325381100,11.8018
1325381400,11.8018
1325381700,11.3647
1325382000,10.4905
1325382300,11.8018
1325382600,10.9276
1325382900,11.8018
1325383200,11.8018
1325383500,13.1131
1325383800,12.676
1325384100,12.676
1325384400,13.1131
1325384700,13.1131
1325385000,12.676
1325385300,12.2389
1325385600,11.8018
1325385900,12.2389
1325386200,12.676
1325386500,13.5502
1325386800,13.1131
1325387100,10.9276
1325387400,11.8018
1325387700,10.0534
1325388000,11.8018
1325388300,11.8018
1325388600,11.3647
1325388900,11.3647
1325389200,11.3647
1325389500,13.1131
1325389800,11.8018
1325390100,11.8018
1325390400,10.4905
1325390700,11.8018
1325391000,12.2389
1325391300,10.9276
1325391600,10.9276
1325391900,11.3647
1325392200,11.8018
1325392500,11.3647
1325392800,11.3647
1325393100,10.0534
1325393400,12.2389
1325393700,11.3647
1325394000,11.3647
1325394300,11.3647
1325394600,10.9276
1325394900,11.8018
1325395200,10.4905
1325395500,11.8018
1325395800,10.4905
1325396100,10.4905
1325396400,10.4905
1325396700,10.9276
1325397000,11.3647
1325397300,11.8018
1325397600,10.0534
1325397900,10.0534
1325398200,10.4905
1325398500,10.0534
1325398800,10.4905
1325399100,8.7421
1325399400,10.4905
1325399700,10.4905
1325400000,10.9276
1325400300,10.9276
1325400600,10.4905
1325400900,9.6163
1325401200,10.0534
1325401500,9.1792
1325401800,8.7421
1325402100,9.6163
1325402400,8.7421
1325402700,8.7421
1325403000,8.305
1325403300,7.8679
1325403600,8.7421
1325403900,6.9936
1325404200,9.1792
1325404500,6.9936
1325404800,7.8679
1325405100,9.1792
1325405400,10.0534
1325405700,9.1792
1325406000,9.6163
1325406300,8.7421
1325406600,9.6163
1325406900,8.305
1325407200,9.6163
1325407500,7.8679
1325407800,9.1792
1325408100,6.9936
1325408400,8.7421
1325408700,7.8679
1325409000,8.7421
1325409300,9.1792
1325409600,7.8679
1325409900,7.4307
1325410200,7.8679
1325410500,8.7421
1325410800,8.7421
1325411100,8.305
1325411400,7.4307
1325411700,7.4307
1325412000,8.7421
1325412300,7.8679
1325412600,7.4307
1325412900,7.4307
1325413200,7.8679
1325413500,7.4307
1325413800,7.4307
1325414100,6.5565
1325414400,6.5565
1325414700,6.5565
1325415000,6.9936
1325415300,6.1194
1325415600,7.4307
1325415900,6.5565
1325416200,7.4307
1325416500,7.8679
1325416800,5.6823
1325417100,7.4307
1325417400,5.6823
1325417700,7.4307
1325418000,6.1194
1325418300,7.8679
1325418600,5.6823
1325418900,6.9936
1325419200,6.9936
1325419500,6.9936
1325419800,5.6823
1325420100,6.5565
1325420400,5.6823
1325420700,7.4307
1325421000,6.1194
1325421300,6.1194
1325421600,6.5565
1325421900,6.5565
1325422200,7.4307
1325422500,6.1194
1325422800,6.1194
1325423100,6.9936
1325423400,6.5565
1325423700,6.5565
1325424000,6.9936
1325424300,6.1194
1325424600,6.1194
1325424900,6.1194
1325425200,5.6823
1325425500,6.1194
1325425800,6.1194
1325426100,6.1194
1325426400,6.5565
1325426700,7.4307
1325427000,6.9936
1325427300,7.8679
1325427600,6.9936
1325427900,7.4307
1325428200,8.305
1325428500,8.305
1325428800,9.1792
1325429100,10.0534
1325429400,8.7421
1325429700,10.0534
1325430000,9.6163
1325430300,9.6163
1325430600,9.6163
