"x","y"
74.7554166666667,13384
38.3695833333333,11664
12.87625,11244
17.10625,11596
66.9883333333333,12876.2677455845
64.0066666666667,13656.4266118284
12.03625,11828
59.0829166666667,12250.5938331046
38.3466666666667,11656
38.2695833333333,12016
59.5470833333333,12798.6927704701
73.9529166666667,12964.1060374109
64.0441666666667,12288
65.5595833333333,12440
40.0004166666667,11944.936033414
46.29125,11874.1112760409
59.3133333333333,11516
68.8116666666667,12996
31.1516666666667,12344
50.25125,12004.6237102161
